trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,"Véhicules légers < 3,5t",89,N-S,Voie de circulation générale,2021-03-10 18:00:00+00:00,2.327263,48.883513,18,Wednesday,2021-03-10,"Véhicules légers < 3,5t",8,75008
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,2 roues motorisées,9,N-S,Voie de circulation générale,2021-03-10 21:00:00+00:00,2.327263,48.883513,21,Wednesday,2021-03-10,Motorcycles,8,75008
10019_2 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,4,N-S,Voie de circulation générale,2021-03-10 02:00:00+00:00,2.365016,48.877338,2,Wednesday,2021-03-10,Mixed,10,75010
10019_2 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,22,N-S,Voie de circulation générale,2021-03-10 04:00:00+00:00,2.365016,48.877338,4,Wednesday,2021-03-10,Mixed,10,75010
10019_2 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,309,N-S,Voie de circulation générale,2021-03-10 09:00:00+00:00,2.365016,48.877338,9,Wednesday,2021-03-10,Mixed,10,75010
10019_1 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,41,S-N,Voie de circulation générale,2021-03-10 10:00:00+00:00,2.365016,48.877338,10,Wednesday,2021-03-10,Mixed,10,75010
10019_2 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,285,N-S,Voie de circulation générale,2021-03-10 12:00:00+00:00,2.365016,48.877338,12,Wednesday,2021-03-10,Mixed,10,75010
10019_1 -> 1,10019,143 quai de Valmy,"Véhicules lourds > 3,5t",2,S-N,Voie de circulation générale,2021-03-10 18:00:00+00:00,2.365016,48.877338,18,Wednesday,2021-03-10,Heavy Vehicles,10,75010
10020_1 -> 1,10020,134 quai de Jemmapes,"Véhicules lourds > 3,5t",2,S-N,Voie de circulation générale,2021-03-10 00:00:00+00:00,2.364635,48.875967,0,Wednesday,2021-03-10,Heavy Vehicles,10,75010
10019_2 -> 1,10019,143 quai de Valmy,Trottinettes + vélos,23,N-S,Voie de circulation générale,2021-02-23 22:00:00+00:00,2.365016,48.877338,22,Tuesday,2021-02-23,Mixed,10,75010
10020_2 -> 1,10020,134 quai de Jemmapes,Trottinettes + vélos,9,N-S,Voie de circulation générale,2021-02-23 11:00:00+00:00,2.364635,48.875967,11,Tuesday,2021-02-23,Mixed,10,75010
10020_2 -> 1,10020,134 quai de Jemmapes,Trottinettes + vélos,7,N-S,Voie de circulation générale,2021-02-23 12:00:00+00:00,2.364635,48.875967,12,Tuesday,2021-02-23,Mixed,10,75010
10020_1 -> 1,10020,134 quai de Jemmapes,Trottinettes + vélos,17,S-N,Voie de circulation générale,2021-02-23 22:00:00+00:00,2.364635,48.875967,22,Tuesday,2021-02-23,Mixed,10,75010
10022_1 -> 1,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,2,E-O,Voie de circulation générale,2021-02-22 23:00:00+00:00,2.344817,48.859617,23,Monday,2021-02-22,Mixed,1,75001
10022_3 -> 2,10022,CF0892_65 rue de Rivoli (Bourdonnais),"Véhicules légers < 3,5t",1,E-O,Coronapiste,2021-02-23 03:00:00+00:00,2.344817,48.859617,3,Tuesday,2021-02-23,"Véhicules légers < 3,5t",1,75001
10022_3 -> 2,10022,CF0892_65 rue de Rivoli (Bourdonnais),"Véhicules lourds > 3,5t",1,E-O,Coronapiste,2021-02-23 04:00:00+00:00,2.344817,48.859617,4,Tuesday,2021-02-23,Heavy Vehicles,1,75001
10022_5 -> 3,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,24,E-O,Piste cyclable,2021-02-23 05:00:00+00:00,2.344817,48.859617,5,Tuesday,2021-02-23,Mixed,1,75001
10022_3 -> 2,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,144,E-O,Coronapiste,2021-02-23 06:00:00+00:00,2.344817,48.859617,6,Tuesday,2021-02-23,Mixed,1,75001
10022_1 -> 1,10022,CF0892_65 rue de Rivoli (Bourdonnais),Autobus et autocars,69,E-O,Voie de circulation générale,2021-02-23 08:00:00+00:00,2.344817,48.859617,8,Tuesday,2021-02-23,Buses,1,75001
10022_4 -> 3,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,284,O-E,Piste cyclable,2021-02-23 13:00:00+00:00,2.344817,48.859617,13,Tuesday,2021-02-23,Mixed,1,75001
10022_5 -> 3,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,117,E-O,Piste cyclable,2021-02-23 13:00:00+00:00,2.344817,48.859617,13,Tuesday,2021-02-23,Mixed,1,75001
