location,precision,arrondissement,format_1m2,format_2m2,longitude,latitude,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area
"6, avenue Maurice Ravel",,75012.0,0.0,1.0,2.411745,48.841801,75012.0,75012,12,1.0,2.0
"7, rue Paul Appell",,75014.0,0.0,1.0,2.326294,48.821674,75014.0,75014,14,1.0,2.0
"8, square Lamarck",,75018.0,0.0,1.0,2.335818,48.890833,75018.0,75018,18,1.0,2.0
"87, avenue Jean Jaurès",,75019.0,0.0,1.0,2.379333,48.885302,75019.0,75019,19,1.0,2.0
"26, rue Boulay","Centre sportif Bernard Lafay, angle rue de la Joncquière",75017.0,0.0,1.0,2.318374,48.894664,75017.0,75017,17,1.0,2.0
"29, rue Hermel",Bibliothèque Clignancourt,75018.0,0.0,1.0,2.344508,48.891616,75018.0,75018,18,1.0,2.0
"8, rue Sadi Lecointe",,75019.0,0.0,1.0,2.373876,48.880356,75019.0,75019,19,1.0,2.0
"21, rue Saint Louis en l'Isle",,75004.0,0.0,1.0,2.3572509999999998,48.851526,75004.0,75004,4,1.0,2.0
"2, rue Eugène Reisz",,75020.0,0.0,1.0,2.410685,48.85643,75020.0,75020,20,1.0,2.0
"40, rue Vandrezane",,75013.0,0.0,1.0,2.35322,48.827774,75013.0,75013,13,1.0,2.0
15-33 Avenue de la Porte des Poissonniers,angle rue Jean Cocteau / avenue porte de Poissonniers,75018.0,0.0,1.0,2.352423,48.899663,75018.0,75018,18,1.0,2.0
"5, rue Noyer Durand",Ecole maternelle,75019.0,0.0,1.0,2.399121,48.886727,75019.0,75019,19,1.0,2.0
"23, rue Jacquier",,75014.0,0.0,1.0,2.316987,48.829979,75014.0,75014,14,1.0,2.0
"160-162, rue Championnet",,75018.0,0.0,1.0,2.340169,48.895048,75018.0,75018,18,1.0,2.0
64 rue de Beaubourg,,75003.0,1.0,0.0,2.354553,48.863243,75003.0,75003,3,1.0,1.0
"40, rue des Meuniers",,75012.0,0.0,1.0,2.396294,48.834878,75012.0,75012,12,1.0,2.0
"18, rue Jean Zay",,75014.0,0.0,1.0,2.320578,48.837607,75014.0,75014,14,1.0,2.0
"130, boulevard de Clichy",Panneau A : face au 130,75009.0,0.0,1.0,2.334409,48.882984,75009.0,75009,9,1.0,2.0
"3, passage Bullourde",,75011.0,0.0,1.0,2.376653,48.854709,75011.0,75011,11,1.0,2.0
"103, rue de la Croix Nivert",,75015.0,0.0,1.0,2.294888,48.842595,75015.0,75015,15,1.0,2.0
