location,precision,arrondissement,format_1m2,format_2m2,longitude,latitude,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area
"7, rue du Jardinet",Ecole élémentaire,75006.0,1.0,0.0,2.339941,48.852692,75006.0,75006,6,1.0,1.0
"4bis, rue de la Présentation",,75011.0,0.0,1.0,2.377182,48.870885,75011.0,75011,11,1.0,2.0
84 Rue de la Mare,,75020.0,0.0,1.0,2.389293,48.873093,75020.0,75020,20,1.0,2.0
Place Pinel,Entrée du Square,75013.0,1.0,0.0,2.361549,48.833497,75013.0,75013,13,1.0,1.0
"12, rue Saint-Benoît",Groupe scolaire,75006.0,1.0,0.0,2.3331049999999998,48.855128,75006.0,75006,6,1.0,1.0
"9, rue de Vaugirard",Ecole élémentaire,75006.0,1.0,0.0,2.339836,48.848922,75006.0,75006,6,1.0,1.0
"70, avenue Daumesnil",,75012.0,0.0,1.0,2.380336,48.844704,75012.0,75012,12,1.0,2.0
"17, rue Sorbier",,75020.0,0.0,1.0,2.392419,48.866162,75020.0,75020,20,1.0,2.0
"7, rue Bretonneau",,75020.0,0.0,1.0,2.4031700000000003,48.86769,75020.0,75020,20,1.0,2.0
"39, rue Alexandre Dumas",Panneau B,75011.0,0.0,1.0,2.393242,48.853745,75011.0,75011,11,1.0,2.0
"19, rue Boissonnade",,75014.0,0.0,1.0,2.332875,48.838886,75014.0,75014,14,1.0,2.0
"2, rue Japy",,75011.0,0.0,1.0,2.38245,48.855874,75011.0,75011,11,1.0,2.0
"9, rue Franc Nohain",,75013.0,0.0,1.0,2.375173,48.821395,75013.0,75013,13,1.0,2.0
"21/23, avenue de Saint Ouen",,75017.0,0.0,1.0,2.325925,48.889046,75017.0,75017,17,1.0,2.0
"38, rue des Orteaux",,75020.0,0.0,1.0,2.401315,48.856603,75020.0,75020,20,1.0,2.0
"15, rue de Monceau",,75008.0,0.0,1.0,2.307069,48.875864,75008.0,75008,8,1.0,2.0
"107, boulevard Voltaire",,75011.0,0.0,1.0,2.379116,48.85859,75011.0,75011,11,1.0,2.0
"6, rue Baptiste Renard",Face au 6,75013.0,0.0,1.0,2.366809,48.828093,75013.0,75013,13,1.0,2.0
"12, rue Saint Benoit",,75006.0,0.0,1.0,2.3331049999999998,48.855128,75006.0,75006,6,1.0,2.0
"76, boulevard Berthier",,75017.0,0.0,1.0,2.304479,48.890553,75017.0,75017,17,1.0,2.0
"31, rue Pierre Semard",Panneau B,75009.0,0.0,1.0,2.348291,48.879105,75009.0,75009,9,1.0,2.0
"46, rue Jenner",,75013.0,0.0,1.0,2.360667,48.836123,75013.0,75013,13,1.0,2.0
"14-18, avenue Georges Lafenestre",,75014.0,0.0,1.0,2.311657,48.825299,75014.0,75014,14,1.0,2.0
"27, rue Las Casés",,75007.0,0.0,1.0,2.31858,48.858981,75007.0,75007,7,1.0,2.0
"39, rue des Cordelières",,75013.0,0.0,1.0,2.348657,48.834253,75013.0,75013,13,1.0,2.0
"7, rue Barbanègre","école élémentaire, Panneau B",75019.0,0.0,1.0,2.382858,48.892135,75019.0,75019,19,1.0,2.0
"27, rue de Poissy",,75005.0,0.0,1.0,2.352272,48.848586,75005.0,75005,5,1.0,2.0
"49, rue Legendre",,75017.0,0.0,1.0,2.315958,48.885248,75017.0,75017,17,1.0,2.0
"9, rue Jomard",Ecole élémentaire,75019.0,0.0,1.0,2.379576,48.88971,75019.0,75019,19,1.0,2.0
"109, rue des Amandiers",,75020.0,0.0,1.0,2.388636,48.867739,75020.0,75020,20,1.0,2.0
"28, rue Cambon",,75001.0,0.0,1.0,2.32685,48.868105,75001.0,75001,1,1.0,2.0
"5/7, rue Neuve Saint Pierre",,75004.0,0.0,1.0,2.363512,48.853665,75004.0,75004,4,1.0,2.0
"10, rue Paul Baudry",,75008.0,0.0,1.0,2.307394,48.87234,75008.0,75008,8,1.0,2.0
"3, rue des Caillaux",,75013.0,0.0,1.0,2.362127,48.822875,75013.0,75013,13,1.0,2.0
"20-24, avenue Georges Lafenestre",,75014.0,0.0,1.0,2.311657,48.825299,75014.0,75014,14,1.0,2.0
"66, rue Olivier de Serres",,75015.0,0.0,1.0,2.294959,48.833817,75015.0,75015,15,1.0,2.0
"1, rue Vauvenargues",,75018.0,0.0,1.0,2.33465,48.891898,75018.0,75018,18,1.0,2.0
"5, rue Pierre Bullet",,75010.0,0.0,1.0,2.358068,48.871589,75010.0,75010,10,1.0,2.0
"26, avenue du Général Sarail",,75016.0,0.0,1.0,2.2549200000000003,48.843724,75016.0,75016,16,1.0,2.0
"11-13, rue Jacques Kellner",,75017.0,0.0,1.0,2.32429,48.897262,75017.0,75017,17,1.0,2.0
"103, avenue Gambetta",,75020.0,0.0,1.0,2.399962,48.866818,75020.0,75020,20,1.0,2.0
66/72 avenue Philippe Auguste,,75011.0,0.0,1.0,2.3925359999999998,48.854201,75011.0,75011,11,1.0,2.0
"6, rue de Cotte",,75012.0,0.0,1.0,2.377656,48.849445,75012.0,75012,12,1.0,2.0
"22, boulevard Poissonnière",Panneau B,75009.0,0.0,1.0,2.345109,48.871326,75009.0,75009,9,1.0,2.0
"11, rue Lahire",,75013.0,0.0,1.0,2.366395,48.829663,75013.0,75013,13,1.0,2.0
"122-130, rue d Aubervilliers",,75019.0,0.0,1.0,2.369341,48.891869,75019.0,75019,19,1.0,2.0
20 rue de la Brèche aux loups,Collège Jules Vernes - à gauche de l'entrée,75012.0,1.0,0.0,2.39417,48.837543,75012.0,75012,12,1.0,1.0
"28, rue andré Brechet",,75017.0,0.0,1.0,2.324894,48.898947,75017.0,75017,17,1.0,2.0
"16, rue du Colonel Moll",,75017.0,0.0,1.0,2.290012,48.878088,75017.0,75017,17,1.0,2.0
