latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.85878,2.305271,Civic Panel,75007.0,1.5,0.0,1.0,0,"4, rue Cler",panels
48.871326,2.345109,Civic Panel,75009.0,1.75,0.0,1.0,0,"22, boulevard Poissonnière",panels
48.896602,2.352861,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"142, rue des Poissonniers",panels
48.847869,2.327529,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"112, rue de Rennes",panels
48.878822,2.317688,Civic Panel,75008.0,1.5,0.0,1.0,0,"28, rue du Général Foy",panels
48.877377,2.403219,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"45-59, rue de Romainville",panels
48.86577,2.389248,Civic Panel,75020.0,8.75,0.0,1.0,0,square des Amandiers,panels
48.849731,2.286149,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"30/40, rue Emeriau",panels
48.890317,2.30087,Civic Panel,75017.0,4.5,0.0,1.0,0,"4-8, rue Brunetiere",panels
48.835968,2.384587,Civic Panel,75012.0,5.0,0.0,1.0,0,"6, rue pommard",panels
48.825781,2.375676,Civic Panel,75013.0,6.5,0.0,1.0,0,"5bis, rue Eugène Oudine",panels
48.878594,2.394505,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"7-29, rue Eugénie Cotton",panels
48.856892,2.383143,Civic Panel,75011.0,5.5,0.0,1.0,0,"4, rue Mercoeur",panels
48.843121,2.388838,Civic Panel,75012.0,5.0,1.0,0.0,0,40 Jacques Hillairet,panels
48.896619,2.327266,Civic Panel,75017.0,4.5,0.0,1.0,0,"22, rue Jean Leclaire",panels
48.886176,2.358258,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"8, rue Jean Francois Lepine",panels
48.899487,2.342365,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"12, rue René Binet",panels
48.866319,2.392293,Civic Panel,75020.0,8.75,0.0,1.0,0,"15, rue Sorbier",panels
48.856704,2.390985,Civic Panel,75011.0,5.5,0.0,1.0,0,"108, avenue Philippe Auguste",panels
