latitude,longitude,count,arrondissement,mode,heat_intensity
48.858628,2.348208,63,4.0,"Véhicules lourds > 3,5t",0.05585106382978723
48.858628,2.348208,1,4.0,Autobus et autocars,0.0008865248226950354
48.858628,2.348208,319,4.0,"Véhicules légers < 3,5t",0.2828014184397163
48.858628,2.348208,801,4.0,Vélos,0.7101063829787234
48.858628,2.348208,50,4.0,"Véhicules lourds > 3,5t",0.044326241134751775
48.858628,2.348208,81,4.0,2 roues motorisées,0.07180851063829788
48.858628,2.348208,1,4.0,Trottinettes,0.0008865248226950354
48.858628,2.348208,3,4.0,Vélos,0.0026595744680851063
48.858628,2.348208,80,4.0,2 roues motorisées,0.07092198581560284
48.858628,2.348208,1,4.0,2 roues motorisées,0.0008865248226950354
48.858628,2.348208,15,4.0,"Véhicules lourds > 3,5t",0.013297872340425532
48.858628,2.348208,54,4.0,2 roues motorisées,0.047872340425531915
48.858628,2.348208,1,4.0,Autobus et autocars,0.0008865248226950354
48.858628,2.348208,111,4.0,"Véhicules légers < 3,5t",0.09840425531914894
48.858628,2.348208,3,4.0,Trottinettes,0.0026595744680851063
48.858628,2.348208,180,4.0,Vélos,0.1595744680851064
48.858628,2.348208,26,4.0,Trottinettes,0.02304964539007092
48.858628,2.348208,3,4.0,Trottinettes,0.0026595744680851063
48.858628,2.348208,35,4.0,Trottinettes,0.03102836879432624
48.858628,2.348208,354,4.0,"Véhicules légers < 3,5t",0.31382978723404253
48.858628,2.348208,399,4.0,"Véhicules légers < 3,5t",0.3537234042553192
48.858628,2.348208,19,4.0,Trottinettes,0.016843971631205674
48.8637441,2.332196,13,75001.0,Trottinettes,0.01152482269503546
48.8637441,2.332196,7,75001.0,2 roues motorisées,0.0062056737588652485
48.8637441,2.332196,228,75001.0,"Véhicules légers < 3,5t",0.20212765957446807
48.8637441,2.332196,9,75001.0,2 roues motorisées,0.007978723404255319
48.8637441,2.332196,387,75001.0,Trottinettes + vélos,0.34308510638297873
48.8637441,2.332196,92,75001.0,Trottinettes,0.08156028368794327
48.8661799,2.3249276,2,75001.0,Trottinettes + vélos,0.0017730496453900709
48.8661799,2.3249276,31,75001.0,Trottinettes + vélos,0.0274822695035461
48.8661799,2.3249276,152,75001.0,"Véhicules légers < 3,5t",0.1347517730496454
48.8661799,2.3249276,53,75001.0,"Véhicules légers < 3,5t",0.04698581560283688
48.8661799,2.3249276,6,75001.0,van,0.005319148936170213
48.8661799,2.3249276,1,75001.0,"Véhicules légers < 3,5t",0.0008865248226950354
48.8661799,2.3249276,839,75001.0,Trottinettes + vélos,0.7437943262411347
48.8661799,2.3249276,39,75001.0,"Véhicules lourds > 3,5t",0.034574468085106384
48.8661799,2.3249276,1004,75001.0,Trottinettes + vélos,0.8900709219858156
48.8661799,2.3249276,11,75001.0,2 roues motorisées,0.00975177304964539
48.8661799,2.3249276,17,75001.0,Trottinettes,0.015070921985815602
48.8661799,2.3249276,1,75001.0,Trottinettes + vélos,0.0008865248226950354
48.8661799,2.3249276,1,75001.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.8661799,2.3249276,16,75001.0,"Véhicules lourds > 3,5t",0.014184397163120567
48.8661799,2.3249276,282,75001.0,Trottinettes + vélos,0.25
48.8661799,2.3249276,14,75001.0,"Véhicules légers < 3,5t",0.012411347517730497
48.8661799,2.3249276,22,75001.0,van,0.01950354609929078
48.8661799,2.3249276,57,75001.0,2 roues motorisées,0.05053191489361702
48.8661799,2.3249276,4,75001.0,van,0.0035460992907801418
48.8661799,2.3249276,325,75001.0,Trottinettes + vélos,0.28812056737588654
48.8661799,2.3249276,1,75001.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.8869615,2.3857779,6,75019.0,van,0.005319148936170213
48.8869615,2.3857779,138,75019.0,"Véhicules légers < 3,5t",0.12234042553191489
48.8869615,2.3857779,7,75019.0,Autobus et autocars,0.0062056737588652485
48.8869615,2.3857779,1,75019.0,Trottinettes,0.0008865248226950354
48.8869615,2.3857779,6,75019.0,Autobus et autocars,0.005319148936170213
48.8869615,2.3857779,4,75019.0,Trottinettes + vélos,0.0035460992907801418
48.8869615,2.3857779,56,75019.0,Trottinettes + vélos,0.04964539007092199
48.8869615,2.3857779,3,75019.0,Trottinettes + vélos,0.0026595744680851063
48.8869615,2.3857779,48,75019.0,2 roues motorisées,0.0425531914893617
48.8869615,2.3857779,57,75019.0,2 roues motorisées,0.05053191489361702
48.8869615,2.3857779,5,75019.0,Trottinettes,0.004432624113475178
48.8869615,2.3857779,74,75019.0,van,0.06560283687943262
48.8869615,2.3857779,1,75019.0,Trottinettes + vélos,0.0008865248226950354
48.83578,2.37063,3,13.0,Trottinettes,0.0026595744680851063
48.83578,2.37063,7,13.0,van,0.0062056737588652485
48.83578,2.37063,2,13.0,Trottinettes + vélos,0.0017730496453900709
48.83578,2.37063,1,13.0,Autobus et autocars,0.0008865248226950354
48.83578,2.37063,3,13.0,Trottinettes + vélos,0.0026595744680851063
48.83578,2.37063,1,13.0,Autobus et autocars,0.0008865248226950354
48.83578,2.37063,7,13.0,"Véhicules lourds > 3,5t",0.0062056737588652485
48.83578,2.37063,2,13.0,Trottinettes + vélos,0.0017730496453900709
48.83578,2.37063,6,13.0,2 roues motorisées,0.005319148936170213
48.83578,2.37063,3,13.0,Trottinettes + vélos,0.0026595744680851063
48.83578,2.37063,1,13.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.83578,2.37063,5,13.0,van,0.004432624113475178
48.8878207,2.3891549,16,19.0,van,0.014184397163120567
48.8878207,2.3891549,3,19.0,"Véhicules lourds > 3,5t",0.0026595744680851063
48.8878207,2.3891549,6,19.0,Autobus et autocars,0.005319148936170213
48.8878207,2.3891549,58,19.0,van,0.051418439716312055
48.8878207,2.3891549,11,19.0,Trottinettes + vélos,0.00975177304964539
48.8878207,2.3891549,1,19.0,2 roues motorisées,0.0008865248226950354
48.8878207,2.3891549,27,19.0,van,0.023936170212765957
48.8878207,2.3891549,2,19.0,Trottinettes,0.0017730496453900709
48.8878207,2.3891549,1,19.0,Trottinettes,0.0008865248226950354
48.8878207,2.3891549,8,19.0,Trottinettes,0.0070921985815602835
48.8878207,2.3891549,13,19.0,van,0.01152482269503546
48.851172,2.34332,1,5.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.851172,2.34332,6,5.0,Trottinettes,0.005319148936170213
48.851172,2.34332,4,5.0,van,0.0035460992907801418
48.851172,2.34332,8,5.0,Autobus et autocars,0.0070921985815602835
48.851172,2.34332,24,5.0,Trottinettes + vélos,0.02127659574468085
48.851172,2.34332,777,5.0,Trottinettes + vélos,0.6888297872340425
48.851172,2.34332,2,5.0,Trottinettes,0.0017730496453900709
48.851172,2.34332,56,5.0,"Véhicules lourds > 3,5t",0.04964539007092199
48.851172,2.34332,22,5.0,Autobus et autocars,0.01950354609929078
48.851172,2.34332,63,5.0,"Véhicules légers < 3,5t",0.05585106382978723
48.851172,2.34332,51,5.0,Trottinettes + vélos,0.04521276595744681
48.851172,2.34332,59,5.0,van,0.05230496453900709
48.851172,2.34332,2,5.0,"Véhicules lourds > 3,5t",0.0017730496453900709
48.851172,2.34332,122,5.0,Trottinettes + vélos,0.10815602836879433
48.851172,2.34332,229,5.0,Trottinettes + vélos,0.20301418439716312
48.851172,2.34332,3,5.0,Trottinettes,0.0026595744680851063
48.851172,2.34332,587,5.0,Trottinettes + vélos,0.5203900709219859
48.851172,2.34332,519,5.0,Trottinettes + vélos,0.4601063829787234
48.851172,2.34332,7,5.0,Trottinettes,0.0062056737588652485
48.851172,2.34332,1,5.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.851172,2.34332,5,5.0,"Véhicules lourds > 3,5t",0.004432624113475178
48.86116,2.32415,5,7.0,Autobus et autocars,0.004432624113475178
48.86116,2.32415,1,7.0,Trottinettes + vélos,0.0008865248226950354
48.86116,2.32415,2,7.0,Trottinettes,0.0017730496453900709
48.86116,2.32415,70,7.0,Autobus et autocars,0.06205673758865248
48.86116,2.32415,88,7.0,"Véhicules lourds > 3,5t",0.07801418439716312
48.86116,2.32415,158,7.0,Trottinettes + vélos,0.1400709219858156
48.86116,2.32415,59,7.0,Autobus et autocars,0.05230496453900709
48.86116,2.32415,258,7.0,Trottinettes + vélos,0.22872340425531915
48.86116,2.32415,85,7.0,Trottinettes + vélos,0.07535460992907801
48.86116,2.32415,1008,7.0,"Véhicules légers < 3,5t",0.8936170212765957
48.8844469,2.3271829,212,9.0,Trottinettes + vélos,0.1879432624113475
48.8844469,2.3271829,36,9.0,2 roues motorisées,0.031914893617021274
48.8844469,2.3271829,11,9.0,Trottinettes,0.00975177304964539
48.8844469,2.3271829,6,9.0,van,0.005319148936170213
48.8844469,2.3271829,4,9.0,2 roues motorisées,0.0035460992907801418
48.8844469,2.3271829,1,9.0,2 roues motorisées,0.0008865248226950354
48.8844469,2.3271829,21,9.0,"Véhicules lourds > 3,5t",0.018617021276595744
48.8844469,2.3271829,3,9.0,van,0.0026595744680851063
48.8844469,2.3271829,19,9.0,van,0.016843971631205674
48.8844469,2.3271829,26,9.0,Autobus et autocars,0.02304964539007092
48.8844469,2.3271829,26,9.0,van,0.02304964539007092
48.8844469,2.3271829,20,9.0,Autobus et autocars,0.01773049645390071
48.8844469,2.3271829,25,9.0,van,0.022163120567375887
48.8844469,2.3271829,28,9.0,Autobus et autocars,0.024822695035460994
48.8844469,2.3271829,40,9.0,van,0.03546099290780142
48.8844469,2.3271829,25,9.0,Autobus et autocars,0.022163120567375887
48.8844469,2.3271829,2,9.0,"Véhicules lourds > 3,5t",0.0017730496453900709
48.8844469,2.3271829,5,9.0,"Véhicules lourds > 3,5t",0.004432624113475178
48.8844469,2.3271829,107,9.0,2 roues motorisées,0.09485815602836879
48.8844469,2.3271829,28,9.0,Autobus et autocars,0.024822695035460994
48.8844469,2.3271829,56,9.0,Trottinettes + vélos,0.04964539007092199
48.8844469,2.3271829,14,9.0,Trottinettes + vélos,0.012411347517730497
48.8844469,2.3271829,39,9.0,Trottinettes,0.034574468085106384
48.8844469,2.3271829,18,9.0,Trottinettes,0.015957446808510637
48.86414,2.30152,1,7.0,Trottinettes,0.0008865248226950354
48.86414,2.30152,3,7.0,2 roues motorisées,0.0026595744680851063
48.86414,2.30152,3,7.0,"Véhicules lourds > 3,5t",0.0026595744680851063
48.86414,2.30152,4,7.0,van,0.0035460992907801418
48.86414,2.30152,38,7.0,van,0.03368794326241135
48.86414,2.30152,84,7.0,2 roues motorisées,0.07446808510638298
48.86414,2.30152,14,7.0,Trottinettes + vélos,0.012411347517730497
48.86414,2.30152,50,7.0,van,0.044326241134751775
48.86414,2.30152,447,7.0,"Véhicules légers < 3,5t",0.3962765957446808
48.86414,2.30152,646,7.0,"Véhicules légers < 3,5t",0.5726950354609929
48.86414,2.30152,19,7.0,Trottinettes + vélos,0.016843971631205674
48.86414,2.30152,4,7.0,Trottinettes,0.0035460992907801418
48.86414,2.30152,59,7.0,2 roues motorisées,0.05230496453900709
48.84579,2.3678,167,12.0,"Véhicules lourds > 3,5t",0.14804964539007093
48.84579,2.3678,120,12.0,van,0.10638297872340426
48.84579,2.3678,57,12.0,2 roues motorisées,0.05053191489361702
48.84579,2.3678,138,12.0,"Véhicules lourds > 3,5t",0.12234042553191489
48.84579,2.3678,8,12.0,Trottinettes + vélos,0.0070921985815602835
48.84579,2.3678,113,12.0,van,0.10017730496453901
48.84579,2.3678,68,12.0,van,0.06028368794326241
48.84579,2.3678,5,12.0,Trottinettes + vélos,0.004432624113475178
48.83999,2.37816,209,12.0,"Véhicules légers < 3,5t",0.18528368794326242
48.83999,2.37816,1,12.0,2 roues motorisées,0.0008865248226950354
48.83999,2.37816,59,12.0,van,0.05230496453900709
48.83999,2.37816,1,12.0,van,0.0008865248226950354
48.83999,2.37816,37,12.0,Trottinettes + vélos,0.03280141843971631
48.83999,2.37816,10,12.0,Autobus et autocars,0.008865248226950355
48.83999,2.37816,15,12.0,Autobus et autocars,0.013297872340425532
48.83999,2.37816,80,12.0,van,0.07092198581560284
48.83999,2.37816,12,12.0,Autobus et autocars,0.010638297872340425
48.83999,2.37816,539,12.0,"Véhicules légers < 3,5t",0.4778368794326241
48.83999,2.37816,1,12.0,2 roues motorisées,0.0008865248226950354
48.83999,2.37816,2,12.0,2 roues motorisées,0.0017730496453900709
48.85039,2.29302,2,15.0,van,0.0017730496453900709
48.85039,2.29302,2,15.0,Trottinettes + vélos,0.0017730496453900709
48.85039,2.29302,2,15.0,Autobus et autocars,0.0017730496453900709
48.85039,2.29302,32,15.0,2 roues motorisées,0.028368794326241134
48.85039,2.29302,257,15.0,"Véhicules légers < 3,5t",0.22783687943262412
48.85039,2.29302,55,15.0,2 roues motorisées,0.04875886524822695
48.85039,2.29302,50,15.0,2 roues motorisées,0.044326241134751775
48.85039,2.29302,4,15.0,van,0.0035460992907801418
48.85039,2.29302,52,15.0,Trottinettes + vélos,0.04609929078014184
48.85039,2.29302,108,15.0,"Véhicules légers < 3,5t",0.09574468085106383
48.89859,2.36831,15,75018.0,Trottinettes,0.013297872340425532
48.89859,2.36831,33,75018.0,Trottinettes,0.02925531914893617
48.89859,2.36831,29,75018.0,Trottinettes,0.025709219858156027
48.89859,2.36831,9,75018.0,Trottinettes,0.007978723404255319
48.88267,2.36361,1,10.0,van,0.0008865248226950354
48.88267,2.36361,7,10.0,Trottinettes,0.0062056737588652485
48.88267,2.36361,1,10.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.88267,2.36361,82,10.0,Trottinettes + vélos,0.0726950354609929
48.88267,2.36361,7,10.0,Trottinettes,0.0062056737588652485
48.88267,2.36361,1,10.0,van,0.0008865248226950354
48.88267,2.36361,3,10.0,van,0.0026595744680851063
48.88267,2.36361,15,10.0,Trottinettes,0.013297872340425532
48.88267,2.36361,7,10.0,"Véhicules légers < 3,5t",0.0062056737588652485
48.88267,2.36361,5,10.0,Trottinettes,0.004432624113475178
48.873118,2.3260433,46,9.0,Trottinettes + vélos,0.040780141843971635
48.873118,2.3260433,17,9.0,Trottinettes + vélos,0.015070921985815602
48.873118,2.3260433,6,9.0,Trottinettes + vélos,0.005319148936170213
48.873118,2.3260433,2,9.0,Trottinettes + vélos,0.0017730496453900709
48.873118,2.3260433,10,9.0,2 roues motorisées,0.008865248226950355
48.873118,2.3260433,1,9.0,Autobus et autocars,0.0008865248226950354
48.873118,2.3260433,131,9.0,"Véhicules légers < 3,5t",0.11613475177304965
48.873118,2.3260433,209,9.0,"Véhicules légers < 3,5t",0.18528368794326242
48.873118,2.3260433,20,9.0,"Véhicules légers < 3,5t",0.01773049645390071
48.873118,2.3260433,3,9.0,van,0.0026595744680851063
48.873118,2.3260433,22,9.0,Trottinettes + vélos,0.01950354609929078
48.873118,2.3260433,19,9.0,"Véhicules lourds > 3,5t",0.016843971631205674
48.873118,2.3260433,7,9.0,2 roues motorisées,0.0062056737588652485
48.873118,2.3260433,14,9.0,"Véhicules lourds > 3,5t",0.012411347517730497
48.873118,2.3260433,27,9.0,van,0.023936170212765957
48.873118,2.3260433,1,9.0,Trottinettes + vélos,0.0008865248226950354
48.873118,2.3260433,28,9.0,Trottinettes + vélos,0.024822695035460994
48.873118,2.3260433,5,9.0,"Véhicules lourds > 3,5t",0.004432624113475178
48.873118,2.3260433,43,9.0,"Véhicules légers < 3,5t",0.038120567375886524
48.873118,2.3260433,5,9.0,van,0.004432624113475178
48.873118,2.3260433,283,9.0,Trottinettes + vélos,0.250886524822695
48.873118,2.3260433,10,9.0,Autobus et autocars,0.008865248226950355
48.878147,2.352425,62,10.0,2 roues motorisées,0.0549645390070922
48.878147,2.352425,1,10.0,Trottinettes + vélos,0.0008865248226950354
48.878147,2.352425,14,10.0,van,0.012411347517730497
48.878147,2.352425,25,10.0,van,0.022163120567375887
48.878147,2.352425,2,10.0,Trottinettes + vélos,0.0017730496453900709
48.878147,2.352425,43,10.0,2 roues motorisées,0.038120567375886524
48.878147,2.352425,7,10.0,"Véhicules légers < 3,5t",0.0062056737588652485
48.878147,2.352425,340,10.0,Trottinettes + vélos,0.30141843971631205
48.878147,2.352425,6,10.0,2 roues motorisées,0.005319148936170213
48.878147,2.352425,56,10.0,van,0.04964539007092199
48.878147,2.352425,401,10.0,"Véhicules légers < 3,5t",0.3554964539007092
48.878147,2.352425,29,10.0,Trottinettes,0.025709219858156027
48.878147,2.352425,1,10.0,Autobus et autocars,0.0008865248226950354
48.878147,2.352425,36,10.0,Trottinettes + vélos,0.031914893617021274
48.878147,2.352425,1,10.0,van,0.0008865248226950354
48.878147,2.352425,2,10.0,2 roues motorisées,0.0017730496453900709
48.878147,2.352425,105,10.0,2 roues motorisées,0.09308510638297872
48.8377059,2.2966493,2,15.0,van,0.0017730496453900709
48.8377059,2.2966493,1,15.0,2 roues motorisées,0.0008865248226950354
48.8377059,2.2966493,2,15.0,van,0.0017730496453900709
48.8377059,2.2966493,8,15.0,2 roues motorisées,0.0070921985815602835
48.8377059,2.2966493,1,15.0,Trottinettes + vélos,0.0008865248226950354
48.8377059,2.2966493,154,15.0,"Véhicules légers < 3,5t",0.13652482269503546
48.8377059,2.2966493,1,15.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.8377059,2.2966493,15,15.0,"Véhicules lourds > 3,5t",0.013297872340425532
48.8377059,2.2966493,52,15.0,2 roues motorisées,0.04609929078014184
48.8377059,2.2966493,29,15.0,"Véhicules légers < 3,5t",0.025709219858156027
48.8377059,2.2966493,10,15.0,Autobus et autocars,0.008865248226950355
48.8377059,2.2966493,30,15.0,van,0.026595744680851064
48.8377059,2.2966493,1,15.0,"Véhicules légers < 3,5t",0.0008865248226950354
48.8377059,2.2966493,2,15.0,"Véhicules lourds > 3,5t",0.0017730496453900709
48.8377059,2.2966493,26,15.0,2 roues motorisées,0.02304964539007092
48.8377059,2.2966493,1,15.0,Trottinettes + vélos,0.0008865248226950354
48.8377059,2.2966493,27,15.0,2 roues motorisées,0.023936170212765957
48.8377059,2.2966493,20,15.0,2 roues motorisées,0.01773049645390071
48.8377059,2.2966493,1,15.0,Autobus et autocars,0.0008865248226950354
48.8377059,2.2966493,1,15.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.8377059,2.2966493,16,15.0,van,0.014184397163120567
48.8377059,2.2966493,4,15.0,Trottinettes,0.0035460992907801418
48.8377059,2.2966493,163,15.0,Trottinettes + vélos,0.14450354609929078
48.8377059,2.2966493,80,15.0,Trottinettes + vélos,0.07092198581560284
48.85431,2.34518,3,5.0,"Véhicules légers < 3,5t",0.0026595744680851063
48.85431,2.34518,2,5.0,Autobus et autocars,0.0017730496453900709
