location,precision,arrondissement,format_1m2,format_2m2,coordinates,geometry,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area,latitude,longitude
"50, rue Lacépède",Bains-Douches,75005.0,1.0,0.0,"{'lon': 2.349986, 'lat': 48.84438}","{'lon': 2.349986, 'lat': 48.84438}",75005.0,75005,5,1.0,1.0,48.84438,2.349986
100 rue de Charenton -,"Le ""100""",75012.0,1.0,0.0,"{'lon': 2.376957, 'lat': 48.847696}","{'lon': 2.376957, 'lat': 48.847696}",75012.0,75012,12,1.0,1.0,48.847696,2.376957
"118, quai de Jemmapes",,75010.0,0.0,1.0,"{'lon': 2.36381, 'lat': 48.874978}","{'lon': 2.36381, 'lat': 48.874978}",75010.0,75010,10,1.0,2.0,48.874978,2.36381
"10, boulevard Murat",,75016.0,0.0,1.0,"{'lon': 2.258228, 'lat': 48.846838}","{'lon': 2.258228, 'lat': 48.846838}",75016.0,75016,16,1.0,2.0,48.846838,2.258228
"13-15, rue Jean de la Fontaine",,75016.0,0.0,1.0,"{'lon': 2.270749, 'lat': 48.850615}","{'lon': 2.270749, 'lat': 48.850615}",75016.0,75016,16,1.0,2.0,48.850615,2.270749
"101, rue de Saussure",,75017.0,0.0,1.0,"{'lon': 2.311703, 'lat': 48.887438}","{'lon': 2.311703, 'lat': 48.887438}",75017.0,75017,17,1.0,2.0,48.887438,2.311703
"20, rue de Musset",,75016.0,0.0,1.0,"{'lon': 2.263429, 'lat': 48.842381}","{'lon': 2.263429, 'lat': 48.842381}",75016.0,75016,16,1.0,2.0,48.842381,2.263429
"37, rue Armand Carrel",,75019.0,0.0,1.0,"{'lon': 2.377818, 'lat': 48.882603}","{'lon': 2.377818, 'lat': 48.882603}",75019.0,75019,19,1.0,2.0,48.882603,2.377818
"81-91, Rue de la Réunion",Ecole maternelle,75020.0,1.0,0.0,"{'lon': 2.40025, 'lat': 48.85645}","{'lon': 2.40025, 'lat': 48.85645}",75020.0,75020,20,1.0,1.0,48.85645,2.40025
angle Alibert / Claude Vellefaux,,75010.0,0.0,1.0,"{'lon': 2.370246, 'lat': 48.874893}","{'lon': 2.370246, 'lat': 48.874893}",75010.0,75010,10,1.0,2.0,48.874893,2.370246
"16, rue Wurtz",,75013.0,1.0,0.0,"{'lon': 2.344612, 'lat': 48.826924}","{'lon': 2.344612, 'lat': 48.826924}",75013.0,75013,13,1.0,1.0,48.826924,2.344612
"22, rue Saint Maur",,75011.0,0.0,1.0,"{'lon': 2.382034, 'lat': 48.860315}","{'lon': 2.382034, 'lat': 48.860315}",75011.0,75011,11,1.0,2.0,48.860315,2.382034
"200, rue Saint Maur",,75010.0,0.0,1.0,"{'lon': 2.3716749999999998, 'lat': 48.872242}","{'lon': 2.3716749999999998, 'lat': 48.872242}",75010.0,75010,10,1.0,2.0,48.872242,2.3716749999999998
47 rue de Picpus,Ecole - à droite de l'entrée,75012.0,1.0,0.0,"{'lon': 2.39699, 'lat': 48.843372}","{'lon': 2.39699, 'lat': 48.843372}",75012.0,75012,12,1.0,1.0,48.843372,2.39699
"18, avenue de la porte de Chatillon",,75014.0,0.0,1.0,"{'lon': 2.317013, 'lat': 48.823693}","{'lon': 2.317013, 'lat': 48.823693}",75014.0,75014,14,1.0,2.0,48.823693,2.317013
"315, rue de Charenton",,75012.0,0.0,1.0,"{'lon': 2.395135, 'lat': 48.833639}","{'lon': 2.395135, 'lat': 48.833639}",75012.0,75012,12,1.0,2.0,48.833639,2.395135
"12, rue du Docteur Laurent",,75013.0,0.0,1.0,"{'lon': 2.355973, 'lat': 48.824915}","{'lon': 2.355973, 'lat': 48.824915}",75013.0,75013,13,1.0,2.0,48.824915,2.355973
"3, avenue Boudon / angle rue du Père Brottier",,75016.0,0.0,1.0,"{'lon': 2.270562, 'lat': 48.850202}","{'lon': 2.270562, 'lat': 48.850202}",75016.0,75016,16,1.0,2.0,48.850202,2.270562
"13, rue de Tanger",,75019.0,0.0,1.0,"{'lon': 2.367735, 'lat': 48.885177}","{'lon': 2.367735, 'lat': 48.885177}",75019.0,75019,19,1.0,2.0,48.885177,2.367735
"48, rue Vaneau",,75007.0,0.0,1.0,"{'lon': 2.31916, 'lat': 48.851211}","{'lon': 2.31916, 'lat': 48.851211}",75007.0,75007,7,1.0,2.0,48.851211,2.31916
83 avenue du Général Michel Bizot,Ecole - à droite de l'entrée,75012.0,1.0,0.0,"{'lon': 2.403541, 'lat': 48.837242}","{'lon': 2.403541, 'lat': 48.837242}",75012.0,75012,12,1.0,1.0,48.837242,2.403541
51 rue François Truffaut,Centre d'Animation CLAJE Bercy - à droite de l'entrée,75012.0,1.0,0.0,"{'lon': 2.387186, 'lat': 48.834272}","{'lon': 2.387186, 'lat': 48.834272}",75012.0,75012,12,1.0,1.0,48.834272,2.387186
"229, rue de Courcelles",,75017.0,0.0,1.0,"{'lon': 2.292691, 'lat': 48.889534}","{'lon': 2.292691, 'lat': 48.889534}",75017.0,75017,17,1.0,2.0,48.889534,2.292691
6 rue de Metz,,75010.0,0.0,1.0,"{'lon': 2.35392, 'lat': 48.870887}","{'lon': 2.35392, 'lat': 48.870887}",75010.0,75010,10,1.0,2.0,48.870887,2.35392
"26, boulevard Carnot",,75012.0,0.0,1.0,"{'lon': 2.412916, 'lat': 48.843494}","{'lon': 2.412916, 'lat': 48.843494}",75012.0,75012,12,1.0,2.0,48.843494,2.412916
30 Rue de la Breche aux loups,,75012.0,0.0,1.0,"{'lon': 2.394145, 'lat': 48.837481}","{'lon': 2.394145, 'lat': 48.837481}",75012.0,75012,12,1.0,2.0,48.837481,2.394145
"47, rue de Saussure",,75017.0,0.0,1.0,"{'lon': 2.314919, 'lat': 48.885256}","{'lon': 2.314919, 'lat': 48.885256}",75017.0,75017,17,1.0,2.0,48.885256,2.314919
"31, rue Godeffroy Cavaignac",,75011.0,0.0,1.0,"{'lon': 2.380504, 'lat': 48.856139}","{'lon': 2.380504, 'lat': 48.856139}",75011.0,75011,11,1.0,2.0,48.856139,2.380504
112 Boulevards des Maréchaux,Angle Marechaux / rue de l Abbé Rousselot,75017.0,0.0,1.0,"{'lon': 2.309226, 'lat': 48.883796}","{'lon': 2.309226, 'lat': 48.883796}",75017.0,75017,17,1.0,2.0,48.883796,2.309226
"81, boulevard Massena",,75013.0,0.0,1.0,"{'lon': 2.368247, 'lat': 48.820839}","{'lon': 2.368247, 'lat': 48.820839}",75013.0,75013,13,1.0,2.0,48.820839,2.368247
"15-17, rue Rampal",,75019.0,0.0,1.0,"{'lon': 2.379553, 'lat': 48.874325}","{'lon': 2.379553, 'lat': 48.874325}",75019.0,75019,19,1.0,2.0,48.874325,2.379553
"49, boulevard Menilmontant",,75011.0,0.0,1.0,"{'lon': 2.3865309999999997, 'lat': 48.862694}","{'lon': 2.3865309999999997, 'lat': 48.862694}",75011.0,75011,11,1.0,2.0,48.862694,2.3865309999999997
95 rue du temple,,75003.0,1.0,0.0,"{'lon': 2.356976, 'lat': 48.862048}","{'lon': 2.356976, 'lat': 48.862048}",75003.0,75003,3,1.0,1.0,48.862048,2.356976
"6, avenue Maurice Ravel",,75012.0,0.0,1.0,"{'lon': 2.411745, 'lat': 48.841801}","{'lon': 2.411745, 'lat': 48.841801}",75012.0,75012,12,1.0,2.0,48.841801,2.411745
"7, rue Paul Appell",,75014.0,0.0,1.0,"{'lon': 2.326294, 'lat': 48.821674}","{'lon': 2.326294, 'lat': 48.821674}",75014.0,75014,14,1.0,2.0,48.821674,2.326294
"8, square Lamarck",,75018.0,0.0,1.0,"{'lon': 2.335818, 'lat': 48.890833}","{'lon': 2.335818, 'lat': 48.890833}",75018.0,75018,18,1.0,2.0,48.890833,2.335818
"87, avenue Jean Jaurès",,75019.0,0.0,1.0,"{'lon': 2.379333, 'lat': 48.885302}","{'lon': 2.379333, 'lat': 48.885302}",75019.0,75019,19,1.0,2.0,48.885302,2.379333
"26, rue Boulay","Centre sportif Bernard Lafay, angle rue de la Joncquière",75017.0,0.0,1.0,"{'lon': 2.318374, 'lat': 48.894664}","{'lon': 2.318374, 'lat': 48.894664}",75017.0,75017,17,1.0,2.0,48.894664,2.318374
"29, rue Hermel",Bibliothèque Clignancourt,75018.0,0.0,1.0,"{'lon': 2.344508, 'lat': 48.891616}","{'lon': 2.344508, 'lat': 48.891616}",75018.0,75018,18,1.0,2.0,48.891616,2.344508
"8, rue Sadi Lecointe",,75019.0,0.0,1.0,"{'lon': 2.373876, 'lat': 48.880356}","{'lon': 2.373876, 'lat': 48.880356}",75019.0,75019,19,1.0,2.0,48.880356,2.373876
"21, rue Saint Louis en l'Isle",,75004.0,0.0,1.0,"{'lon': 2.3572509999999998, 'lat': 48.851526}","{'lon': 2.3572509999999998, 'lat': 48.851526}",75004.0,75004,4,1.0,2.0,48.851526,2.3572509999999998
"2, rue Eugène Reisz",,75020.0,0.0,1.0,"{'lon': 2.410685, 'lat': 48.85643}","{'lon': 2.410685, 'lat': 48.85643}",75020.0,75020,20,1.0,2.0,48.85643,2.410685
"40, rue Vandrezane",,75013.0,0.0,1.0,"{'lon': 2.35322, 'lat': 48.827774}","{'lon': 2.35322, 'lat': 48.827774}",75013.0,75013,13,1.0,2.0,48.827774,2.35322
15-33 Avenue de la Porte des Poissonniers,angle rue Jean Cocteau / avenue porte de Poissonniers,75018.0,0.0,1.0,"{'lon': 2.352423, 'lat': 48.899663}","{'lon': 2.352423, 'lat': 48.899663}",75018.0,75018,18,1.0,2.0,48.899663,2.352423
"5, rue Noyer Durand",Ecole maternelle,75019.0,0.0,1.0,"{'lon': 2.399121, 'lat': 48.886727}","{'lon': 2.399121, 'lat': 48.886727}",75019.0,75019,19,1.0,2.0,48.886727,2.399121
"23, rue Jacquier",,75014.0,0.0,1.0,"{'lon': 2.316987, 'lat': 48.829979}","{'lon': 2.316987, 'lat': 48.829979}",75014.0,75014,14,1.0,2.0,48.829979,2.316987
"160-162, rue Championnet",,75018.0,0.0,1.0,"{'lon': 2.340169, 'lat': 48.895048}","{'lon': 2.340169, 'lat': 48.895048}",75018.0,75018,18,1.0,2.0,48.895048,2.340169
64 rue de Beaubourg,,75003.0,1.0,0.0,"{'lon': 2.354553, 'lat': 48.863243}","{'lon': 2.354553, 'lat': 48.863243}",75003.0,75003,3,1.0,1.0,48.863243,2.354553
"40, rue des Meuniers",,75012.0,0.0,1.0,"{'lon': 2.396294, 'lat': 48.834878}","{'lon': 2.396294, 'lat': 48.834878}",75012.0,75012,12,1.0,2.0,48.834878,2.396294
"18, rue Jean Zay",,75014.0,0.0,1.0,"{'lon': 2.320578, 'lat': 48.837607}","{'lon': 2.320578, 'lat': 48.837607}",75014.0,75014,14,1.0,2.0,48.837607,2.320578
"130, boulevard de Clichy",Panneau A : face au 130,75009.0,0.0,1.0,"{'lon': 2.334409, 'lat': 48.882984}","{'lon': 2.334409, 'lat': 48.882984}",75009.0,75009,9,1.0,2.0,48.882984,2.334409
"3, passage Bullourde",,75011.0,0.0,1.0,"{'lon': 2.376653, 'lat': 48.854709}","{'lon': 2.376653, 'lat': 48.854709}",75011.0,75011,11,1.0,2.0,48.854709,2.376653
"103, rue de la Croix Nivert",,75015.0,0.0,1.0,"{'lon': 2.294888, 'lat': 48.842595}","{'lon': 2.294888, 'lat': 48.842595}",75015.0,75015,15,1.0,2.0,48.842595,2.294888
"11, rue Jean Rey",angle avenue de Suffren / rue Jean Rey,75015.0,0.0,1.0,"{'lon': 2.291447, 'lat': 48.855395}","{'lon': 2.291447, 'lat': 48.855395}",75015.0,75015,15,1.0,2.0,48.855395,2.291447
"82, rue Pernetty",,75014.0,0.0,1.0,"{'lon': 2.315742, 'lat': 48.835399}","{'lon': 2.315742, 'lat': 48.835399}",75014.0,75014,14,1.0,2.0,48.835399,2.315742
9 rue Polonceau,angle rue Polonceau / rue Boris Vian,75018.0,0.0,1.0,"{'lon': 2.353862, 'lat': 48.885396}","{'lon': 2.353862, 'lat': 48.885396}",75018.0,75018,18,1.0,2.0,48.885396,2.353862
53 allée Darius Milhaud,Ecole maternelle,75019.0,0.0,1.0,"{'lon': 2.390867, 'lat': 48.88457}","{'lon': 2.390867, 'lat': 48.88457}",75019.0,75019,19,1.0,2.0,48.88457,2.390867
"293, rue des Pyrénées",,75020.0,0.0,1.0,"{'lon': 2.394918, 'lat': 48.869368}","{'lon': 2.394918, 'lat': 48.869368}",75020.0,75020,20,1.0,2.0,48.869368,2.394918
"18, rue Faidherbe",,75011.0,0.0,1.0,"{'lon': 2.383955, 'lat': 48.851602}","{'lon': 2.383955, 'lat': 48.851602}",75011.0,75011,11,1.0,2.0,48.851602,2.383955
"18, avenue de la prte Brancion",,75015.0,0.0,1.0,"{'lon': 2.300413, 'lat': 48.826626}","{'lon': 2.300413, 'lat': 48.826626}",75015.0,75015,15,1.0,2.0,48.826626,2.300413
"2, rue Féssart",,75019.0,0.0,1.0,"{'lon': 2.38915, 'lat': 48.876172}","{'lon': 2.38915, 'lat': 48.876172}",75019.0,75019,19,1.0,2.0,48.876172,2.38915
"5, rue Mouraud",Ecole élémentaire,75020.0,0.0,1.0,"{'lon': 2.407777, 'lat': 48.854708}","{'lon': 2.407777, 'lat': 48.854708}",75020.0,75020,20,1.0,2.0,48.854708,2.407777
"25, rue de Rivoli",,75004.0,0.0,1.0,"{'lon': 2.355152, 'lat': 48.856693}","{'lon': 2.355152, 'lat': 48.856693}",75004.0,75004,4,1.0,2.0,48.856693,2.355152
15 Rue Girardon,,75018.0,0.0,1.0,"{'lon': 2.33782, 'lat': 48.888084}","{'lon': 2.33782, 'lat': 48.888084}",75018.0,75018,18,1.0,2.0,48.888084,2.33782
104-106 Rue Compans,Angle  rue du Général Brunet,75019.0,0.0,1.0,"{'lon': 2.389772, 'lat': 48.880396}","{'lon': 2.389772, 'lat': 48.880396}",75019.0,75019,19,1.0,2.0,48.880396,2.389772
"24, rue de la Cour des Noues",,75020.0,1.0,0.0,"{'lon': 2.401004, 'lat': 48.864378}","{'lon': 2.401004, 'lat': 48.864378}",75020.0,75020,20,1.0,1.0,48.864378,2.401004
"68, boulevard Poniatowski",,75012.0,0.0,1.0,"{'lon': 2.399323, 'lat': 48.832161}","{'lon': 2.399323, 'lat': 48.832161}",75012.0,75012,12,1.0,2.0,48.832161,2.399323
"77, rue d Alésia",,75014.0,0.0,1.0,"{'lon': 2.327953, 'lat': 48.82773}","{'lon': 2.327953, 'lat': 48.82773}",75014.0,75014,14,1.0,2.0,48.82773,2.327953
"9, rue des Alouettes",,75019.0,0.0,1.0,"{'lon': 2.385354, 'lat': 48.877519}","{'lon': 2.385354, 'lat': 48.877519}",75019.0,75019,19,1.0,2.0,48.877519,2.385354
"7, rue Barbanègre","école élémentaire, Panneau A",75019.0,0.0,1.0,"{'lon': 2.382858, 'lat': 48.892135}","{'lon': 2.382858, 'lat': 48.892135}",75019.0,75019,19,1.0,2.0,48.892135,2.382858
"17-19, rue Blomet",,75015.0,0.0,1.0,"{'lon': 2.307197, 'lat': 48.843156}","{'lon': 2.307197, 'lat': 48.843156}",75015.0,75015,15,1.0,2.0,48.843156,2.307197
"42, rue de la Mare",,75020.0,1.0,0.0,"{'lon': 2.389959, 'lat': 48.871094}","{'lon': 2.389959, 'lat': 48.871094}",75020.0,75020,20,1.0,1.0,48.871094,2.389959
"148, avenue Gambetta",,75020.0,0.0,1.0,"{'lon': 2.406186, 'lat': 48.875389}","{'lon': 2.406186, 'lat': 48.875389}",75020.0,75020,20,1.0,2.0,48.875389,2.406186
"11, rue Valette",Creche,75005.0,1.0,0.0,"{'lon': 2.3469160000000002, 'lat': 48.847557}","{'lon': 2.3469160000000002, 'lat': 48.847557}",75005.0,75005,5,1.0,1.0,48.847557,2.3469160000000002
"88, boulevard Bessière",,75017.0,0.0,1.0,"{'lon': 2.319314, 'lat': 48.896536}","{'lon': 2.319314, 'lat': 48.896536}",75017.0,75017,17,1.0,2.0,48.896536,2.319314
"17, avenue Edison",,75013.0,0.0,1.0,"{'lon': 2.3642849999999997, 'lat': 48.827738}","{'lon': 2.3642849999999997, 'lat': 48.827738}",75013.0,75013,13,1.0,2.0,48.827738,2.3642849999999997
"2, rue de la Guadeloupe",,75018.0,0.0,1.0,"{'lon': 2.362625, 'lat': 48.890753}","{'lon': 2.362625, 'lat': 48.890753}",75018.0,75018,18,1.0,2.0,48.890753,2.362625
"36, rue Féssart",,75019.0,0.0,1.0,"{'lon': 2.384217, 'lat': 48.876827}","{'lon': 2.384217, 'lat': 48.876827}",75019.0,75019,19,1.0,2.0,48.876827,2.384217
"5, place Paul Verlaine",,75013.0,0.0,1.0,"{'lon': 2.352475, 'lat': 48.827428}","{'lon': 2.352475, 'lat': 48.827428}",75013.0,75013,13,1.0,2.0,48.827428,2.352475
"5, place Hebert",,75018.0,0.0,1.0,"{'lon': 2.363213, 'lat': 48.893105}","{'lon': 2.363213, 'lat': 48.893105}",75018.0,75018,18,1.0,2.0,48.893105,2.363213
"26, rue Maryse Hilz",,75020.0,0.0,1.0,"{'lon': 2.412878, 'lat': 48.852133}","{'lon': 2.412878, 'lat': 48.852133}",75020.0,75020,20,1.0,2.0,48.852133,2.412878
"46/48, rue du Rocher",,75008.0,0.0,1.0,"{'lon': 2.320526, 'lat': 48.877866}","{'lon': 2.320526, 'lat': 48.877866}",75008.0,75008,8,1.0,2.0,48.877866,2.320526
"115, boulevard Charonne",,75011.0,0.0,1.0,"{'lon': 2.393939, 'lat': 48.856591}","{'lon': 2.393939, 'lat': 48.856591}",75011.0,75011,11,1.0,2.0,48.856591,2.393939
"15, rue Guersant",,75017.0,0.0,1.0,"{'lon': 2.290199, 'lat': 48.880565}","{'lon': 2.290199, 'lat': 48.880565}",75017.0,75017,17,1.0,2.0,48.880565,2.290199
"16, rue de l Atlas",,75019.0,0.0,1.0,"{'lon': 2.376595, 'lat': 48.875505}","{'lon': 2.376595, 'lat': 48.875505}",75019.0,75019,19,1.0,2.0,48.875505,2.376595
"18, rue Maryse Hilsz",,75020.0,0.0,1.0,"{'lon': 2.412835, 'lat': 48.850531}","{'lon': 2.412835, 'lat': 48.850531}",75020.0,75020,20,1.0,2.0,48.850531,2.412835
"19, rue de l'arbre sec",,75001.0,0.0,1.0,"{'lon': 2.342026, 'lat': 48.859896}","{'lon': 2.342026, 'lat': 48.859896}",75001.0,75001,1,1.0,2.0,48.859896,2.342026
"4, rue Cler",,75007.0,0.0,1.0,"{'lon': 2.305271, 'lat': 48.85878}","{'lon': 2.305271, 'lat': 48.85878}",75007.0,75007,7,1.0,2.0,48.85878,2.305271
"22, boulevard Poissonnière",Panneau A,75009.0,0.0,1.0,"{'lon': 2.345109, 'lat': 48.871326}","{'lon': 2.345109, 'lat': 48.871326}",75009.0,75009,9,1.0,2.0,48.871326,2.345109
"142, rue des Poissonniers",,75018.0,0.0,1.0,"{'lon': 2.352861, 'lat': 48.896602}","{'lon': 2.352861, 'lat': 48.896602}",75018.0,75018,18,1.0,2.0,48.896602,2.352861
"112, rue de Rennes",centre André Malraux,75006.0,1.0,0.0,"{'lon': 2.327529, 'lat': 48.847869}","{'lon': 2.327529, 'lat': 48.847869}",75006.0,75006,6,1.0,1.0,48.847869,2.327529
"28, rue du Général Foy",Panneau A,75008.0,0.0,1.0,"{'lon': 2.317688, 'lat': 48.878822}","{'lon': 2.317688, 'lat': 48.878822}",75008.0,75008,8,1.0,2.0,48.878822,2.317688
