counter_name,installation_date,count_datetime,hourly_count,coordinates,month_year,id_compteur,counter,name,id,arrondissement,year,month,day,hour,weekday,arrondissement_clean,latitude,longitude,is_rush_hour,is_weekend
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 16:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,16,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 21:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,21,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 23:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,23,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 02:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,2,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 04:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,4,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 08:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,8,Sunday,10,48.83507,2.33305,True,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 09:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,9,Sunday,10,48.83507,2.33305,True,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 11:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,11,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 13:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,13,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-05 21:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,5,21,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-06 04:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,6,4,Monday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-06 06:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,6,6,Monday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-06 10:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,6,10,Monday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-06 22:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,6,22,Monday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 00:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,0,Tuesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 05:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,5,Tuesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 08:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,8,Tuesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 10:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,10,Tuesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 19:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,19,Tuesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-07 20:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,7,20,Tuesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 02:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,2,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 03:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,3,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 04:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,4,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 05:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,5,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 08:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,8,Wednesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 09:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,9,Wednesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 10:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,10,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 13:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,13,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 16:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,16,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 18:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,18,Wednesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 19:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,19,Wednesday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 21:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,21,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-08 22:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,8,22,Wednesday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-09 15:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,9,15,Thursday,10,48.83507,2.33305,False,False
